,Quotes,Characters
7061,Showtime  Ill pretend to be dying of space plague,Fry
7066,I dont know Is it really you,Fry
7070,I dont get it Michelle The last time I saw you you were doing great You had just dumped me and you were well on your way to getting you life back on track Whyd you freeze yourself,Fry
7082,Aww So you froze yourself to come look for me,Fry
7084,Thats the same reason they kept me out of school So no one even cared that I was gone,Fry
7088,Not everything Theres still a roach problem,Fry
7091,Nowadays people arent interested in art thats not tattooed on fat guys,Fry
7093,Please Professor Give us our jobs back We deserve another chance,Leela
7101,Forget about Fry You can hire us back and hed never have to know,Leela
7105,Im glad youre all here I wanted to introduce you to my onagainoffagain girlfriend of the past thousand years Michelle  Hermes and Amy,Fry
7107,And this is Dr Zoidberg,Fry
7112,But things are different this time Before she was demanding and possessive But now she wants me to do stuff and stay with her all the time,Fry
7117,Probably because he didnt fit in back in your time,Leela
7123,Oh right I was supposed to assign you a job Let me just get your career chip installed  What are you scared of Its just like getting your hand pierced,Fry
7125,Ooh romantic Ill tell Bender to meet us there,Fry
7127,Whoa whoa girl I thought you were talking about one of those motels where the bed is shaped like stuff,Fry
7129,Well sure To the extent a man can love a woman But this seems like a big step,Fry
7131,Youre right Lets do this now and lets never regret it,Fry
7132,Michelle I dont regret this But I both rue and lament it,Fry
7133,The year 4000 is severely disappointing I miss the year 3000 when life was simple and brains flew through space and everyone ate lasers,Fry
7137,Alright fine Everything else sucks At least we can have a nice place to live,Fry
7140,Itd be deeper but Im standing on a gopher,Fry
7142,Theyll save us  Were saved,Fry
7145,Mighty sir we have nowhere to go Could we please join your society,Fry
7147,I tell you that Butch runs a pretty good civilisation I think Ill enjoy serving under him,Fry
7151,Alright alright If itll make you happy Ill overthrow society,Fry
7153,Well Im older than you I can beat you up,Fry
7160,Oh so its a little safer than skateboarding,Fry
7166,Aww Poor little guy Let me just take a look at Aha  I won Im the new chief Im the tallest and I weigh the most,Fry
7173,I find this postapocalyptic wasteland very confusing Seriously Im weirded out,Fry
7175,Yeah but in the year 3000 I had it all Several friends a lowpaying job a bed in a robots closet I envied no man But you wrecked everything,Fry
7177,Oh yeah Well listen to this,Fry
7178,There must be people somewhere,Fry
7179,Yes Footprints And hand prints  But Whats happening,Fry
7180,Fry thank God we found you,Leela
7181,Leela What are you guys doing here in the year 4000,Fry
7185,But when they noticed you werent him they chucked you in a ditch,Leela
7186,So youre saying these arent the decaying ruins of New York in the year 4000,Fry
7188,But there was this gang of 10yearolds with guns,Fry
7190,But everyone is driving around in cars shooting at each other,Fry
7192,But the air is green and theres no sign of civilisation whatsoever,Fry
7194,And the people are all phoneys No one reads Everything has cilantro on it  Michelle baby,Fry
7197,Thats it Ive had it with women From now on Im concentrating on my career Can I have my old job back,Fry
7202,Well so has Fry Whats the big deal,Leela
7214,I didnt know you could take this thing off,Leela
7222,Whats wrong Did you swallow your phone again,Leela
7224,Men who call too much are the worst  I bet,Leela
7278,This halfdate is entirely over Amy Conference,Leela
7282,Alright enough lipstick Lets storm out,Leela
7291,Were going home Call us a space taxi,Leela
7301,I cant believe Leela and Amy arent back yet from their halfdate Im gonna call the restaurant,Fry
7303,We gotta go rescue them,Fry
7305,Bender Think of the señoritas,Fry
7309,What planet is this anyway,Leela
7317,Oh no Any sign of Leela or Amy,Fry
7319,I dont know But it might have something to do with this,Fry
7330,Where are all the men in your society,Leela
7342,Im already looking for apartments,Leela
7351,So why did you make it your leader,Leela
7356,It was an accident maam,Fry
7358,Leela Im through making fun of women Now I want them to help me,Fry
7376,Although the snusnu parts gonna be pretty good,Fry
7378,Femputer be reasonable Sure men are annoying and they wreck up whatever planet theyre in charge of but most of these men are sorta my friends They dont deserve to die,Leela
7390,Goodbye friends I never thought I would die like this But Id always really hoped,Fry
7398,Weve got to do something Bender maybe you can interface with the Femputer and reprogram it to let them go,Leela
7417,Cant we just cuddle  Nooo,Fry
7418,We cant wait for Bender Its time for a womans touch  Yah Hiyah Yah yah yah,Leela
7432,Its funny how the battle of the sexes was only resolved when a Manbot and a Fembot realised they loved each other,Leela
7441,Hmm Id better check the fluid levels  Were OK on Coke syrup,Leela
7445,Youre not gonna eat a sandwich from a truck stop mens room are you,Leela
7446,Eh whats the worst thing that could happen  Ugh Its like a party in my mouth and everyones throwing up,Fry
7450,That jerk No one hoots at my captain unless theyre prepared to take it to the next level,Fry
7451,Fry please Thats sweet but Id rather not even dignify them with an asswhooping,Leela
7453,Hey jumbo How would you like it if Leela said you were sexy and she wanted to make love with you,Fry
7455,You take that back She does not look good for a truck stop chick,Fry
7457,She does too Shes loaded with meat Shes got more meat than a cow  Ow,Fry
7459,I cant please Leela no matter what I do I just want her to like me,Fry
7468,Well my lead pipe hurts a little,Fry
7473,What about that bathroom egg salad from the truck stop,Leela
7484,So the eggs in that egg salad sandwich were,Leela
7514,Uh  what if we go for a walk possibly because its such a lovely day perhaps,Leela
7522,Ah the scent of a rose Curious how an aromatic chain of hydrocarbons can evoke our deepest emotions  For you,Fry
7523,Thats such a beautiful thought Fry And whats more amazing you expressed it without spewing crumbs at me,Leela
7540,Its that jerk from the truck stop  Lets cross the street and try to blend in with that crowd of pimps,Leela
7541,I dont think so  Sir I believe you owe this lady an apology,Fry
7542,Fry no Hes bulging with what could be muscles  Ooh,Leela
7557,I had a great time today The flowers the puddle the way you hurt that guy But can I aks you something,Leela
7559,Why did you do all that stuff,Leela
7560,Leela theres something Ive wanted to tell you for a long time but every time I try I get nervous and my mouth feels like its stuffed with peanut butter even when its not,Fry
7561,What is it Is it about Bender,Leela
7562,No its about you and me,Fry
7564,Benders not involved  Leela  I love you,Fry
7566,Yes But its only recently that Ive been able to articulate my thoughts I love you Leela and I always have,Fry
7567,Fry thats the sweetest most wonderful Wait Recently Like since you ate that toilet sandwich,Leela
7568,Yeah I dont know why but my life really turned around that day,Fry
7571,Please  I need something to settle my stomach,Fry
7576,Dont even think about tickling that ganglion,Leela
7584,So Did you ever stop to think that Fry is better off with worms,Leela
7586,If anyone wants to tell me whats going on here Ill be in the lounge,Fry
7587,Of all the parasites Ive had over the years these worms are among the Hell They are the best Leela how can I ever repay you for saving them,Fry
7590,Apartment 1I The old me would have made a joke about that,Fry
7591,I should warn you its a little underfurnished,Leela
7592,Im thinking of having a window installed,Leela
7593,I think the views perfect already,Fry
7594,Oh thats the corniest thing Ive ever heard Let me show you the bedroom,Leela
7596,A holophonor Only a few people in the whole universe can play that and theyre not very good at it,Leela
7597,They dont have you to inspire them,Fry
7598,I dont have words to say how wonderful you are Fry I havent felt this happy since doublesoup Tuesday at the orphanarium,Leela
7599,When Im with you every day seems like doublesoup Tuesday,Fry
7600,Oh Fry I love what youve become,Leela
7603,Theres just something I have to find out,Fry
7604,Who controls this bowel,Fry
7609,Your Excellency have you ever been in love,Fry
7611,Well a wonderful girl loves me But I need to know if its really me she loves or just what you worms have made of me Thats why with all due respect Im asking you to leave,Fry
7613,Everyone out of my body or the brain gets it,Fry
7615,Obviously youve never been in love  Now the handeye coordination lobe,Fry
7618,I was just working my way towards the medulla oblongata control centre of the heart and lungs And if I kill myself you die with me,Fry
7620,I hope Satan has a nice colon cause thats where youre gonna be living,Fry
7622,Fry I missed you Did you find out what you needed to find out,Leela
7623,Im about to  Leela let me play for you one for time,Fry
7624,You dont have to do that Im still seduced from before,Leela
7625,Please its important to me,Fry
7626,Whats that supposed to mean,Leela
7627,I dont know I got nervous and I started thinking about neck bolts  Wow Did you see that vase break It was all like,Fry
7629,Nothing I got rid of the worms,Fry
7630,What Why would you do that,Leela
7631,Leela I had worms I needed to know who you loved Me or them,Fry
7632,Well  which of you wrote me that sonnet,Leela
7633,I did  I think It was probably about 5050 But thats how I really felt about you I swear,Fry
7635,Please Give me a chance to be romantic on my own Ive got a baggy of massage oil and Im gonna give you my super back rub just like a I used to give Amy when I was going out with her and she always seemed Uhoh,Fry
7638,Well at least I learned Leelas a lost cause I give up,Fry
7647,Just as well Im getting tired of this wood show,Fry
7649,Were pushing as hard as we can,Leela
7656,These letters are real buttnutters  Dear Santa,Fry
7658,Awful Lets read some more  Dear Santa,Leela
7660,Its not fair In my day Xmas was supposed to bring people together not blow them apart,Fry
7662,Certainly yes us uhhuh sir Weve gotta bring back the kind of Xmas I remember,Fry
7663,Frys right Its time to sit on Santas lap  and hard,Leela
